,Gurobi Solution (Max Run Time: 10 min ) ,,,,HALNS solution,,,BKS
Instance,RunTime,Gap,TotalCollectedPrize,AveragePrizePerVehicle,RunTime,TotalCollectedPrize,AveragePrizePerVehicle,TotalCollectedPrize
p4.2.a,13.29696965,0,206,103,8.499343157,206,103,206
p4.2.b,25.63144231,0,341,170.5,96.43568039,341,170.5,341
p4.2.c,62.21578407,0,452,226,109.6204288,441,220.5,452
p4.2.d,603.6299474,0.039548023,531,265.5,167.4602034,523,261.5,531
p4.2.e,602.8231239,0.053833605,613,306.5,134.5439246,583,291.5,618
p4.2.f,605.9884765,0.091310751,679,339.5,333.6972733,675,337.5,687
p4.2.g,602.0944209,0.084563758,745,372.5,85.82420683,688,344,757
p4.2.h,602.0418136,0.107594937,790,395,50.27294779,775,387.5,835
p4.2.i,601.9977105,0.046563193,902,451,89.68441463,862,431,918
p4.2.j,602.0767882,0.157062147,885,442.5,55.92256236,910,455,965
p4.2.k,602.0297434,0.103030303,990,495,239.6140814,1007,503.5,1022
p4.2.l,602.1981523,0.108737864,1030,515,169.3347852,996,498,1074
p4.2.m,602.2453048,0.090073529,1088,544,334.098666,1091,545.5,1132
p4.2.n,602.1344547,0.072056239,1138,569,195.9630568,1110,555,1174
p4.2.o,602.2109919,0.081385281,1155,577.5,136.3016131,1216,608,1218
p4.2.p,602.1624315,0.046952224,1214,607,96.36912918,1227,613.5,1242
p4.2.q,602.1565814,0.027070064,1256,628,58.74408221,1246,623,1268
p4.2.r,602.2941418,0.053225806,1240,620,104.5135481,1272,636,1292
p4.2.s,602.2927418,0.022709475,1277,638.5,80.55479693,1287,643.5,1304
p4.2.t,602.1490498,0.045636509,1249,624.5,137.6509387,1286,643,1306
p4.3.c,49.27150011,0,193,64.33333333,2.832429886,193,64.33333333,193
p4.3.d,338.1786468,0,335,111.6666667,19.68756199,335,111.6666667,335
p4.3.e,603.2314227,0.017094017,468,156,52.53006601,460,153.3333333,468
p4.3.f,603.1927884,0.020725389,579,193,400.6362004,566,188.6666667,579
p4.3.g,603.5312026,0.067381317,653,217.6666667,222.1074586,621,207,653
p4.3.h,603.2745187,0.120165746,724,241.3333333,397.9986587,704,234.6666667,729
p4.3.i,603.5770471,0.13125,800,266.6666667,543.4552219,772,257.3333333,809
p4.3.j,603.218147,0.118128655,855,285,251.2463992,837,279,861
p4.3.k,603.623821,0.14254386,912,304,535.2649007,883,294.3333333,919
p4.3.l,603.2660334,0.150052466,953,317.6666667,87.84764457,936,312,979
p4.3.m,603.2322934,0.119230769,1040,346.6666667,962.2682729,994,331.3333333,1063
p4.3.n,604.1296239,0.116774791,1079,359.6666667,665.0929506,1041,347,1121
p4.3.o,603.261811,0.099732858,1123,374.3333333,612.1660604,1127,375.6666667,1172
p4.3.p,603.1845407,0.039506173,1215,405,678.3922141,1166,388.6666667,1222
p4.3.q,603.3319776,0.057708162,1213,404.3333333,808.8947146,1201,400.3333333,1253
p4.3.r,603.9927249,0.053527981,1233,411,885.3819952,1233,411,1273
p4.3.s,603.345861,0.062652563,1229,409.6666667,263.0766854,1232,410.6666667,1295
p4.3.t,603.2376406,0.073130649,1217,405.6666667,194.2477787,1272,424,1305
p4.4.e,71.61090994,0,183,45.75,0.533142328,183,45.75,183
p4.4.f,604.3818245,0.151234568,324,81,5.900434494,319,79.75,324
p4.4.g,604.5743246,0.162280702,456,114,38.02395535,460,115,461
p4.4.h,604.6874936,0.143607706,571,142.75,58.18159127,558,139.5,571
p4.4.i,604.6167703,0.193037975,632,158,85.98399425,625,156.25,657
p4.4.j,604.3132565,0.349363508,707,176.75,126.9175425,706,176.5,732
p4.4.k,604.7372756,0.220645161,775,193.75,149.2320769,794,198.5,821
p4.4.l,605.4967034,0.178947368,855,213.75,332.5032101,823,205.75,880
p4.4.m,607.0706024,0.192222222,900,225,435.311552,893,223.25,919
p4.4.n,604.2173345,0.209129512,942,235.5,345.2512052,943,235.75,976
p4.4.o,604.7505589,0.310810811,962,240.5,282.5244961,975,243.75,1061
p4.4.p,604.7696874,0.239520958,1002,250.5,147.5598485,1061,265.25,1124
p4.4.q,606.096133,0.158135283,1094,273.5,149.2066948,1116,279,1161
p4.4.r,604.2696862,0.212806026,1062,265.5,280.6545436,1134,283.5,1216
p4.4.s,604.3116479,0.140611354,1145,286.25,134.0410254,1180,295,1260
p4.4.t,604.252362,0.084717608,1204,301,56.37937522,1230,307.5,1285
