Instance,RunTime,Gap,TotalCollectedPrize,AveragePrizePerVehicle
p4.2.a.txt,12.815783262252808,0.0,206.0,103.0
p4.2.b.txt,24.937066078186035,0.0,341.0,170.5
p4.2.c.txt,58.07486605644226,0.0,452.0,226.0
p4.2.d.txt,152.45361518859863,0.05273069679849341,531.0,265.5
p4.2.e.txt,153.42762088775635,0.09405940594059406,606.0,303.0
p4.2.f.txt,152.63449144363403,0.15653495440729484,658.0,329.0
p4.2.g.txt,152.43534684181213,0.16393442622950818,732.0,366.0
p4.2.h.txt,153.50265192985535,0.21235521235521235,777.0,388.5
p4.2.i.txt,153.0583553314209,0.1611047180667434,869.0,434.5
p4.2.j.txt,153.32375407218933,0.21739130434782608,874.0,437.0
p4.2.k.txt,153.25748920440674,0.1689401888772298,953.0,476.5
p4.2.l.txt,152.30421781539917,0.1952479338842975,968.0,484.0
p4.2.m.txt,153.48024535179138,0.12044817927170869,1071.0,535.5
p4.2.n.txt,152.85067105293274,0.13904235727440148,1086.0,543.0
p4.2.o.txt,156.19260478019714,0.1246660730186999,1123.0,561.5
p4.2.p.txt,155.44746732711792,0.30861723446893763,998.0,499.0
p4.2.q.txt,154.20119667053223,0.37184873949579833,952.0,476.0
p4.2.r.txt,153.6092987060547,0.39381003201707576,937.0,468.5
p4.2.s.txt,152.73614740371704,0.14762741652021089,1138.0,569.0
p4.2.t.txt,152.4345052242279,0.225140712945591,1066.0,533.0
p4.3.b.txt,8.601528882980347,0.0,38.0,12.666666666666666
p4.3.c.txt,101.79856061935425,0.0,193.0,64.33333333333333
p4.3.d.txt,156.07092118263245,0.17522658610271905,331.0,110.33333333333333
p4.3.e.txt,158.64258742332458,0.14967462039045554,461.0,153.66666666666666
p4.3.f.txt,156.85496520996094,0.13204225352112675,568.0,189.33333333333334
p4.3.g.txt,155.50687193870544,0.13580246913580246,648.0,216.0
p4.3.h.txt,159.08390426635742,0.17039106145251395,716.0,238.66666666666666
p4.3.i.txt,159.26829934120178,0.1613316261203585,781.0,260.3333333333333
p4.3.j.txt,155.75244998931885,0.19567827130852342,833.0,277.6666666666667
p4.3.k.txt,153.51728701591492,0.24235294117647058,850.0,283.3333333333333
p4.3.l.txt,157.77167463302612,0.38042131350681535,807.0,269.0
